ID,Pay_Date,Pay_Amount
PI0019,2018-07-01,197.73
PI0056,2018-07-01,350.15
PI0073,2018-07-01,148.7
PI0109,2018-07-01,115.02
PI0125,2018-07-01,84.56
PI0128,2018-07-01,177.23
PI0144,2018-07-01,187.01
PI0177,2018-07-01,212.08
PI0179,2018-07-01,139.44
PI0198,2018-07-01,137.9
PI0214,2018-07-01,171.31
PI0237,2018-07-01,132.07
PI0260,2018-07-01,208.05
PI0262,2018-07-01,138.22
PI0275,2018-07-01,226.38
PI0277,2018-07-01,119.48
PI0279,2018-07-01,178.09
PI0324,2018-07-01,152.38
PI0328,2018-07-01,298.88
PI0332,2018-07-01,57.42
PI0353,2018-07-01,291.67
PI0369,2018-07-01,104.48
PI0372,2018-07-01,76.46
PI0396,2018-07-01,325.65
PI0427,2018-07-01,161.13
PI0432,2018-07-01,209.44
PI0442,2018-07-01,155.9
PI0470,2018-07-01,284.36
PI0493,2018-07-01,180.55
PI0503,2018-07-01,199.61
PI0510,2018-07-01,225.42
PI0520,2018-07-01,155.05
PI0525,2018-07-01,175.68
PI0547,2018-07-01,310.08
PI0581,2018-07-01,256.97
PI0609,2018-07-01,146.64
PI0622,2018-07-01,122.45
PI0660,2018-07-01,181.62
PI0671,2018-07-01,115.59
PI0679,2018-07-01,284.35
PI0717,2018-07-01,211.24
PI0743,2018-07-01,334.93
PI0766,2018-07-01,242.34
PI0783,2018-07-01,129.6
PI0798,2018-07-01,104.31
PI0809,2018-07-01,135.01
PI0810,2018-07-01,197.39
PI0853,2018-07-01,258.26
PI0864,2018-07-01,141.23
PI0881,2018-07-01,367.69
PI0889,2018-07-01,185.37
PI0914,2018-07-01,243.18
PI0918,2018-07-01,280.21
PI0927,2018-07-01,183.24
PI0932,2018-07-01,212.28
PI0969,2018-07-01,143.64
PI1021,2018-07-01,256.09
PI1042,2018-07-01,277.96
PI1060,2018-07-01,86.85
PI1080,2018-07-01,130.4
PI1089,2018-07-01,149.2
PI1095,2018-07-01,100.93
PI1122,2018-07-01,278.7
PI1125,2018-07-01,115.1
PI1134,2018-07-01,130.1
PI1173,2018-07-01,145.44
PI1175,2018-07-01,138.71
PI1229,2018-07-01,183.75
PI1245,2018-07-01,198.8
PI1265,2018-07-01,286.92
PI1291,2018-07-01,286.85
PI1340,2018-07-01,133.81
PI1343,2018-07-01,259.03
PI1361,2018-07-01,287.6
PI1366,2018-07-01,153.9
PI1376,2018-07-01,155.34
PI1379,2018-07-01,155.38
PI1380,2018-07-01,175.53
PI1384,2018-07-01,135.52
PI1387,2018-07-01,255.68
PI1390,2018-07-01,122.14
PI1404,2018-07-01,284.17
PI1406,2018-07-01,320.46
PI1414,2018-07-01,153.06
PI1434,2018-07-01,168.6
PI1441,2018-07-01,119.08
PI1447,2018-07-01,131.76
PI1466,2018-07-01,225.42
PI1473,2018-07-01,250.6
PI1519,2018-07-01,189.11
PI1538,2018-07-01,91.65
PI1545,2018-07-01,244.13
PI1547,2018-07-01,142.96
PI1564,2018-07-01,260.99
PI1599,2018-07-01,255.25
PI1614,2018-07-01,153.17
PI1624,2018-07-01,195.44
PI1655,2018-07-01,165.75
PI1661,2018-07-01,154.07
PI1663,2018-07-01,149.91
PI1686,2018-07-01,124.15
PI1689,2018-07-01,201.48
PI1694,2018-07-01,161.06
PI1707,2018-07-01,246.6
PI1776,2018-07-01,279.43
PI1778,2018-07-01,234.55
PI1787,2018-07-01,246.49
PI1810,2018-07-01,230.12
PI1821,2018-07-01,146.81
PI1823,2018-07-01,153.47
PI1831,2018-07-01,210.56
PI1853,2018-07-01,128.48
PI1863,2018-07-01,118.43
PI1894,2018-07-01,238.84
PI1922,2018-07-01,173.71
PI1932,2018-07-01,129.61
PI1942,2018-07-01,151.05
PI1952,2018-07-01,184.44
PI1968,2018-07-01,254.34
PI1987,2018-07-01,282.76
PI1999,2018-07-01,144.25
PI2026,2018-07-01,215.13
PI2089,2018-07-01,240.37
PI2096,2018-07-01,174.42
PI2097,2018-07-01,266.05
PI2112,2018-07-01,161.94
PI2138,2018-07-01,302.78
PI2157,2018-07-01,147.59
PI2202,2018-07-01,130.6
PI2218,2018-07-01,286.91
PI2221,2018-07-01,191
PI2227,2018-07-01,136.64
PI2238,2018-07-01,144.74
PI2249,2018-07-01,240.5
PI2261,2018-07-01,236.32
PI2265,2018-07-01,83.08
PI2270,2018-07-01,281.71
PI2275,2018-07-01,195.48
PI2286,2018-07-01,234.05
PI2291,2018-07-01,262.58
PI2293,2018-07-01,280.39
PI2297,2018-07-01,156.04
PI2312,2018-07-01,138.95
PI2313,2018-07-01,232.89
PI2326,2018-07-01,203.95
PI2338,2018-07-01,91.7
PI2345,2018-07-01,260.99
PI2355,2018-07-01,169.71
PI2381,2018-07-01,323.86
PI2384,2018-07-01,348.48
PI2390,2018-07-01,148.57
PI2398,2018-07-01,43.34
PI2400,2018-07-01,184.21
PI2409,2018-07-01,157.79
PI2410,2018-07-01,181.99
PI2411,2018-07-01,311.33
PI2457,2018-07-01,142.85
PI2461,2018-07-01,112.2
PI2464,2018-07-01,193.77
PI2481,2018-07-01,138.34
PI2513,2018-07-01,343.91
PI2517,2018-07-01,221.82
PI2545,2018-07-01,244.36
PI2581,2018-07-01,210.66
PI2587,2018-07-01,179.49
PI2595,2018-07-01,136.31
PI2601,2018-07-01,216.97
PI2629,2018-07-01,333.84
PI2637,2018-07-01,198.37
PI2644,2018-07-01,144.11
PI2661,2018-07-01,234.85
PI2690,2018-07-01,130.89
PI2704,2018-07-01,219.36
PI2729,2018-07-01,135.55
PI2730,2018-07-01,288.94
PI2732,2018-07-01,118.76
PI2742,2018-07-01,187.21
PI2744,2018-07-01,346.96
PI2802,2018-07-01,226.06
PI2824,2018-07-01,241.79
PI2831,2018-07-01,291.34
PI2849,2018-07-01,191.16
PI2867,2018-07-01,136.3
PI2877,2018-07-01,267.55
PI2903,2018-07-01,163.49
PI2932,2018-07-01,107.79
PI2940,2018-07-01,196.22
PI2948,2018-07-01,224
PI2953,2018-07-01,196.24
PI2958,2018-07-01,144.99
PI2959,2018-07-01,158.62
PI2961,2018-07-01,244.21
PI2964,2018-07-01,131.75
PI2971,2018-07-01,384.67
PI2973,2018-07-01,138.67
PI2990,2018-07-01,179.82
PI2992,2018-07-01,217.97
PI0019,2018-07-15,142.33
PI0056,2018-07-15,174.84
PI0073,2018-07-15,210.31
PI0109,2018-07-15,116.35
PI0125,2018-07-15,119.89
PI0128,2018-07-15,161.8
PI0144,2018-07-15,149.4
PI0177,2018-07-15,165.02
PI0179,2018-07-15,65.72
PI0198,2018-07-15,150.65
PI0214,2018-07-15,228.98
PI0260,2018-07-15,158.58
PI0262,2018-07-15,215.27
PI0263,2018-07-15,253.88
PI0275,2018-07-15,200
PI0277,2018-07-15,125.61
PI0279,2018-07-15,213.09
PI0324,2018-07-15,152.79
PI0328,2018-07-15,256.32
PI0332,2018-07-15,146.17
PI0336,2018-07-15,274.47
PI0353,2018-07-15,217.59
PI0369,2018-07-15,105.44
PI0372,2018-07-15,173.48
