ID,FINYEAR,CODE1,CODE2,CODE3,CODE4,CODE5,CODE6,CODE7,CODE8,AMT1,AMT2,AMT3,AMT4,AMT5,AMT6,AMT7,AMT8
PI0006,2019,SA01,SA12,SA05,,,,,,00750,08262,01000,,,,,
PI0012,2019,SA15,SA12,,,,,,,14000,08262,,,,,,
PI0014,2019,SA14,SA12,,,,,,,06432,07862,,,,,,
PI0015,2019,SA12,SA16,SA19,,,,,,07462,06095,08047,,,,,
PI0016,2019,SA04,,,,,,,,11910,,,,,,,
PI0019,2019,SA12,,,,,,,,07862,,,,,,,
PI0020,2019,SA12,,,,,,,,07462,,,,,,,
PI0023,2019,SA14,SA12,,,,,,,06806,06820,,,,,,
PI0024,2019,SA12,,,,,,,,07462,,,,,,,
PI0031,2019,SA14,,,,,,,,00990,,,,,,,
PI0040,2019,SA01,SA12,,,,,,,01128,08262,,,,,,
PI0042,2019,SA12,,,,,,,,07862,,,,,,,
PI0043,2019,SA14,SA12,SA13,SA16,,,,,00660,07462,01250,03056,,,,
PI0044,2019,SA12,,,,,,,,07462,,,,,,,
PI0050,2019,SA01,SA12,,,,,,,00785,08262,,,,,,
PI0055,2019,SA14,,,,,,,,06761,,,,,,,
PI0056,2019,SA12,SA16,SA17,SA19,,,,,07862,06095,01000,08053,,,,
PI0058,2019,SA01,SA14,SA12,,,,,,00132,05442,08262,,,,,
PI0060,2019,SA14,SA13,SA16,,,,,,01979,01500,07556,,,,,
PI0062,2019,SA01,SA12,SA05,,,,,,00657,08262,01000,,,,,
PI0066,2019,SA14,,,,,,,,23664,,,,,,,
PI0067,2019,SA13,SA16,SA17,SA04,,,,,01500,08380,01000,14610,,,,
PI0073,2019,SA14,SA12,,,,,,,05442,08262,,,,,,
PI0077,2019,SA14,,,,,,,,05758,,,,,,,
PI0079,2019,SA12,,,,,,,,07462,,,,,,,
PI0081,2019,SA13,SA16,SA19,,,,,,00300,03047,04012,,,,,
PI0082,2019,SA15,SA14,,,,,,,10000,01980,,,,,,
PI0083,2019,SA14,,,,,,,,19389,,,,,,,
PI0084,2019,SA15,SA14,,,,,,,10777,01591,,,,,,
PI0085,2019,SA22,,,,,,,,01667,,,,,,,
PI0094,2019,SA12,,,,,,,,07462,,,,,,,
PI0098,2019,SA12,,,,,,,,06328,,,,,,,
PI0102,2019,SA12,,,,,,,,07862,,,,,,,
PI0103,2019,SA12,SA13,SA16,,,,,,07862,01250,04645,,,,,
PI0109,2019,SA13,SA16,SA17,,,,,,00313,03810,00500,,,,,
PI0110,2019,SA14,,,,,,,,03381,,,,,,,
PI0112,2019,SA14,,,,,,,,20282,,,,,,,
PI0113,2019,SA12,,,,,,,,07862,,,,,,,
PI0114,2019,SA12,SA16,SA19,,,,,,07462,05345,08053,,,,,
PI0117,2019,SA12,SA16,SA17,SA19,,,,,07862,06095,01000,08057,,,,
PI0118,2019,SA15,,,,,,,,07500,,,,,,,
PI0119,2019,SA12,,,,,,,,07462,,,,,,,
PI0122,2019,SA12,SA24,SA13,SA16,,,,,07462,00500,01000,03445,,,,
PI0124,2019,SA14,SA13,SA16,,,,,,06926,01500,02545,,,,,
PI0125,2019,SA14,SA12,,,,,,,05442,07462,,,,,,
PI0128,2019,SA16,SA25,,,,,,,03048,13813,,,,,,
PI0131,2019,SA12,SA13,SA16,SA19,,,,,07462,00511,07306,08057,,,,
PI0132,2019,SA12,,,,,,,,07862,,,,,,,
PI0136,2019,SA14,,,,,,,,07422,,,,,,,
PI0137,2019,SA14,,,,,,,,01979,,,,,,,
PI0141,2019,SA04,,,,,,,,08754,,,,,,,
PI0143,2019,SA09,SA14,SA12,,,,,,00500,07422,08262,,,,,
PI0144,2019,SA12,,,,,,,,08262,,,,,,,
PI0146,2019,SA04,,,,,,,,03869,,,,,,,
PI0147,2019,SA14,SA16,,,,,,,01980,06045,,,,,,
PI0148,2019,SA12,,,,,,,,08262,,,,,,,
PI0153,2019,SA12,,,,,,,,07462,,,,,,,
PI0155,2019,SA14,SA16,SA19,,,,,,00990,04292,08057,,,,,
PI0157,2019,SA14,,,,,,,,27702,,,,,,,
PI0158,2019,SA12,,,,,,,,07862,,,,,,,
PI0160,2019,SA04,,,,,,,,11940,,,,,,,
PI0162,2019,SA12,,,,,,,,04131,,,,,,,
PI0165,2019,SA14,SA12,,,,,,,01980,07862,,,,,,
PI0168,2019,SA14,SA04,,,,,,,03463,11601,,,,,,
PI0169,2019,SA14,SA12,,,,,,,01980,07862,,,,,,
PI0177,2019,SA12,,,,,,,,07462,,,,,,,
PI0179,2019,SA14,SA16,SA19,,,,,,01980,06095,08057,,,,,
PI0181,2019,SA13,SA16,,,,,,,01500,02645,,,,,,
PI0182,2019,SA15,SA14,,,,,,,12500,01011,,,,,,
PI0183,2019,SA01,SA12,,,,,,,00094,08262,,,,,,
PI0184,2019,SA15,,,,,,,,13873,,,,,,,
PI0186,2019,SA12,,,,,,,,07462,,,,,,,
PI0189,2019,SA07,SA14,,,,,,,05597,20106,,,,,,
PI0190,2019,SA12,,,,,,,,07462,,,,,,,
PI0191,2019,SA14,,,,,,,,40070,,,,,,,
PI0193,2019,SA14,SA16,,,,,,,01732,01361,,,,,,
PI0198,2019,SA12,,,,,,,,07862,,,,,,,
PI0201,2019,SA15,,,,,,,,22000,,,,,,,
PI0204,2019,SA12,SA16,SA17,SA19,,,,,08262,07619,01000,08045,,,,
PI0205,2019,SA12,,,,,,,,07462,,,,,,,
PI0206,2019,SA02,SA14,SA13,SA16,SA17,SA19,,,01216,05938,01000,06095,01000,08057,,
PI0212,2019,SA01,SA12,SA16,SA19,,,,,01292,08262,06095,08057,,,,
PI0214,2019,SA14,,,,,,,,13523,,,,,,,
PI0215,2019,SA14,,,,,,,,20282,,,,,,,
PI0218,2019,SA12,,,,,,,,07462,,,,,,,
